F043	DISPLAY_CALL_NO	TITLE	URL_Voyager		NORMALIZED_CALL_NO
	"H61 .G68 1969"	"Logic of social inquiry [by] Scott Greer. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=234214		"H   61            G 68   1969"
"  ae------"	"HC240.A1 O2"	"OECD observer. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=246095		"HC  240            A 1   O 2"
	"HC106 .A668"	"Politics and economic policy-making; selected readings [by] James E. Anderson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=234366		"HC  106            A 668"
	"HC106 .A67"	"Politics and the economy [by] James E. Anderson. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=234372		"HC  106            A 67"
	"HB171 .L617 1966"	"Essays in economics : theories and theorizing / Wassily Leontief. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=240466		"HB  171            L 617   1966"
	"HB1 .E5"	"Economica. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=246599		"HB    1            E 5"
	"HB1 .I65"	"International economic review. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=246619		"HB    1            I 65"
	"HB1 .J6"	"Journal of economic literature. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=246627		"HB    1            J 6"
		"Journal of economic theory. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=246629		
"  an-us---"	"E744 .G46 1974"	"Deterrence in American foreign policy: theory and practice [by] Alexander L. George [and] Richard Smoke. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=262326		"E  744            G 46   1974"
"  an-us---"	"E744 .J29 1972"	"Victims of groupthink : a psychological study of foreign-policy decisions and fiascoes / Irving L. Janis. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=264241		"E  744            J 29   1972"
	"E841 .S6"	"Kennedy [by] Theodore C. Sorensen. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=259482		"E  841            S 6"
	"DS101 .C63"	"Commentary. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=270107		"DS  101            C 63"
	"F215 .K45 1949a"	"Southern politics in State and Nation [by] V. O. Key, Jr., with the assistance of Alexander Heard. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=260907		"F  215            K 45   1949 A"
	"F1415 .Z413"	"Latin America and the world. Translated from the Spanish by Frances K. Hendricks and Beatrice Berler. With an introd. by Maria del Carmen Millan. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=266093		"F 1415            Z 413"
"  an-us---aa-kr---aa-vt---"	"E839.5 .M8"	"War, presidents, and public opinion [by] John E. Mueller. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=266131		"E  8395           M 8"
	"HB1 .W47"	"Economic inquiry. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=282327		"HB    1            W 47"
	"U37 M38 1982"	"Pursuit of power : technology, armed force, and society since A.D. 1000 / William H. McNeill. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=282733		"U   37            M 38   1982"
	"B3279.H94 A13"	"Analecta Husserliana. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=294770		"B 3279            H 94   A 13"
	"HB71 .B658 1970"	"Economics as a science / Kenneth E. Boulding. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=283163		"HB   71            B 658   1970"
	"CB161 .F82"	"Futurist. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=289362		"CB  161            F 82"
"  an-us---"	"K1 .A4"	"Administrative law review. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=290228		"K    1            A 4"
"  an-us---"	"UH743 L25"	"Military unionism and the volunteer military system / by Peter B. Lane, Ezra S. Krendel, and William J. Taylor. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=296048		"UH  743            L 25"
"  ae-ur---"	"HV8225 B37 1981"	"KGB : the secret work of Soviet secret agents / John Barron. "	https://libcat.tamu.edu/vwebv/fullHoldingsInfo?bibId=297453		"HV 8225            B 37   1981"
